state,municipality,venue,year,month,events
Puebla,Puebla,mendrugo,2024,2,33
Puebla,Puebla,mendrugo,2024,3,48
Puebla,Puebla,mendrugo,2024,4,39
Puebla,San Pedro Cholula,jazzatlan cholula,2024,1,35
Puebla,San Pedro Cholula,jazzatlan cholula,2024,2,35
