state,municipality,year,month,events
Puebla,Puebla,2024,2,33
Puebla,Puebla,2024,3,48
Puebla,Puebla,2024,4,39
Puebla,San Pedro Cholula,2024,1,35
Puebla,San Pedro Cholula,2024,2,35
