venue,platform,url,state,municipality
Jazzatlan Cholula,facebook,https://www.facebook.com/jazzatlanclubdejazz, Puebla, San Andrés Cholula
Mendrugo,facebook,https://www.facebook.com/casadelmendrugo, Puebla, Puebla

