venue,event_date,weekday,band_name,event_time,municipality,state,latitude,longitude,venue_id
Jazzatlán Cholula,2024-01-10,miércoles,Exploración Latina,,,,NA,NA,NA
Jazzatlán Cholula,2024-01-17,miércoles,Soneros Son,,,,NA,NA,NA
Jazzatlán Cholula,2024-01-24,miércoles,Exploración Latina,,,,NA,NA,NA
Jazzatlán Cholula,2024-01-31,miércoles,Soneros Son,,,,NA,NA,NA
Jazzatlán Cholula,2024-02-07,miércoles,Exploración Latina,,,,NA,NA,NA
Jazzatlán Cholula,2024-02-14,miércoles,Jazzatlán Big Band,21:00,,,NA,NA,NA
Jazzatlán Cholula,2024-02-21,miércoles,Exploración Latina,,,,NA,NA,NA
Jazzatlán Cholula,2024-02-28,miércoles,Soneros Son,,,,NA,NA,NA
