event_date,band_name,event_time
2024-01-10,Exploración Latina,
2024-01-17,Soneros Son,
2024-01-24,Exploración Latina,
2024-01-31,Soneros Son,
2024-02-07,Exploración Latina,
2024-02-14,Jazzatlán Big Band,21:00
2024-02-21,Exploración Latina,
2024-02-28,Soneros Son,
